identificacion,nombres,fecha_nacimiento,apellidos,direccion,telefono,estado_civil,identificacion_conyuge,nombre_conyuge,sujeto_credito
1000000001,Sandy Maria,1/1/1990,Sanchez Valencia,Calle 1,96325874,1,1000100001,Cesar Sandicno,1
1000000002,Sandy Maria,1/2/1990,Sanchez Valencia,Calle 2,96325875,1,1000100002,Cesar Sandicno,1
1000000003,Sandy Maria,1/3/1990,Sanchez Valencia,Calle 3,96325876,1,1000100003,Cesar Sandicno,1
1000000004,Sandy Maria,1/4/1990,Sanchez Valencia,Calle 4,96325877,1,1000100004,Cesar Sandicno,1
1000000005,Sandy Maria,1/5/1990,Sanchez Valencia,Calle 5,96325878,1,1000100005,Cesar Sandicno,1
1000000006,Sandy Maria,1/6/1990,Sanchez Valencia,Calle 6,96325879,1,1000100006,Cesar Sandicno,2
1000000007,Sandy Maria,1/7/1990,Sanchez Valencia,Calle 7,96325880,1,1000100007,Cesar Sandicno,2
1000000008,Sandy Maria,1/8/1990,Sanchez Valencia,Calle 8,96325881,1,1000100008,Cesar Sandicno,2
1000000009,Sandy Maria,1/9/1990,Sanchez Valencia,Calle 9,96325882,1,1000100009,Cesar Sandicno,2
1000000010,Sandy Maria,1/10/1990,Sanchez Valencia,Calle 10,96325883,1,1000100010,Cesar Sandicno,2
1000000011,Sandy Maria,1/11/1990,Sanchez Valencia,Calle 11,96325884,1,1000100011,Cesar Sandicno,2
1000000012,Sandy Maria,1/12/1990,Sanchez Valencia,Calle 12,96325885,1,1000100012,Cesar Sandicno,2
1000000013,Sandy Maria,1/13/1990,Sanchez Valencia,Calle 13,96325886,1,1000100013,Cesar Sandicno,2
1000000014,Sandy Maria,1/14/1990,Sanchez Valencia,Calle 14,96325887,1,1000100014,Cesar Sandicno,2
1000000015,Sandy Maria,1/15/1990,Sanchez Valencia,Calle 15,96325888,1,1000100015,Cesar Sandicno,2
1000000016,Sandy Maria,1/16/1990,Sanchez Valencia,Calle 16,96325889,1,1000100016,Cesar Sandicno,2
1000000017,Sandy Maria,1/17/1990,Sanchez Valencia,Calle 17,96325890,1,1000100017,Cesar Sandicno,2
1000000018,Sandy Maria,1/18/1990,Sanchez Valencia,Calle 18,96325891,1,1000100018,Cesar Sandicno,2
1000000019,Sandy Maria,1/19/1990,Sanchez Valencia,Calle 19,96325892,1,1000100019,Cesar Sandicno,2
1000000020,Sandy Maria,1/20/1990,Sanchez Valencia,Calle 20,96325893,1,1000100020,Cesar Sandicno,2
